Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1177024,"July 30, 2018",Georgia,Savannah,12328 Largo Dr,0,4,View Incident View Source
1175571,"July 30, 2018",Illinois,Chicago,1200 block of S Avers Ave,0,4,View Incident View Source
1174423,"July 29, 2018",Pennsylvania,York,100 block of E Maple St,0,4,View Incident View Source
1174960,"July 29, 2018",Arizona,Phoenix,2501 E Van Buren St,1,4,View Incident View Source
1174990,"July 29, 2018",Michigan,Lansing,Spring and River Street,0,4,View Incident View Source
1174190,"July 28, 2018",Louisiana,New Orleans,3400 S Claiborne Ave,3,7,View Incident View Source
1174527,"July 28, 2018",California,Los Angeles,8801 S Vermont Ave,2,4,View Incident View Source
1173476,"July 27, 2018",Texas,Robstown,603 East Ave J,5,0,View Incident View Source
1173637,"July 27, 2018",Illinois,Chicago,1100 block of S Troy St,0,4,View Incident View Source
1172224,"July 26, 2018",Ohio,Cleveland,18416 St Clair Ave,1,6,View Incident View Source
1173069,"July 26, 2018",California,Oakland,73rd Ave and Bancroft Ave,2,2,View Incident View Source
1172403,"July 26, 2018",Texas,Dallas,3019 South Blvd,0,6,View Incident View Source
1172333,"July 25, 2018",Louisiana,New Orleans,7000 block of Bullard Ave,0,4,View Incident View Source
1170482,"July 23, 2018",Illinois,Chicago,6400 block of S May St,0,5,View Incident View Source
1168828,"July 21, 2018",Maryland,Baltimore,1000 block of Dundalk Ave,0,4,View Incident View Source
1169103,"July 21, 2018",Illinois,Chicago,3100 block of W Fulton St,2,5,View Incident View Source
1169656,"July 20, 2018",Washington,Sunnyside,500 block of S 15th St,1,4,View Incident View Source
1167806,"July 20, 2018",New Jersey,Elizabeth,323 Irvington Ave,0,4,View Incident View Source
1166302,"July 18, 2018",Oklahoma,Oklahoma City,7201 Melrose Ln,0,4,View Incident View Source
1165214,"July 16, 2018",Florida,Palm Beach Gardens (Riviera Beach),2100 block of W 28th St,2,4,View Incident View Source
1165183,"July 16, 2018",District of Columbia,Washington,300 block of 53rd St NE,1,4,View Incident View Source
1165299,"July 16, 2018",Pennsylvania,Philadelphia,2100 block of N 4th St,1,4,View Incident View Source
1164167,"July 15, 2018",Colorado,Denver,50th Ave and Grant St,0,4,View Incident View Source
1164110,"July 15, 2018",Tennessee,Chattanooga,1400 Cowart St,0,5,View Incident View Source
1163947,"July 14, 2018",Maryland,Fort Washington,9500 block of Fort Foote Rd,0,4,View Incident View Source
