Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1359455,"March 31, 2019",Illinois,Chicago,500 block of N Hamlin Ave,1,4,View Incident View Source
1357591,"March 28, 2019",Maryland,Baltimore,6200 block of Boston St,0,4,View Incident View Source
1355275,"March 25, 2019",Nevada,North Las Vegas,2400 block of W San Miguel St,0,5,View Incident View Source
1353714,"March 24, 2019",California,San Francisco,1300 Fillmore St,1,5,View Incident View Source
1354049,"March 24, 2019",Arizona,Phoenix,2202 W McDowell Rd,0,7,View Incident View Source
1350494,"March 19, 2019",Arizona,Phoenix,8526 N 27th Ave,2,4,View Incident View Source
1348844,"March 17, 2019",Georgia,Augusta,900 block of Broad St,0,4,View Incident View Source
1349256,"March 17, 2019",Georgia,Rochelle,Dennis St,1,3,View Incident View Source
1348793,"March 17, 2019",Nevada,Las Vegas,600 E Fremont St,0,4,View Incident View Source
1347974,"March 16, 2019",New Jersey,Camden,619 Ferry Ave,1,3,View Incident View Source
1348291,"March 15, 2019",Alabama,Mobile,515 Dauphin Island Pkwy,2,4,View Incident View Source
1347894,"March 14, 2019",Montana,Missoula,5145 Airway Blvd,1,3,View Incident View Source
1344488,"March 11, 2019",New Jersey,Paterson,291 12th Ave,0,4,View Incident View Source
1343330,"March 10, 2019",Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4,View Incident View Source
1343274,"March 10, 2019",Colorado,Denver,15th St and Market St,1,4,View Incident View Source
1338860,"March 3, 2019",California,Oakland,316 14th St,0,4,View Incident View Source
1338765,"March 3, 2019",Illinois,Chicago,2900 block of E 79th St,0,6,View Incident View Source
1338790,"March 2, 2019",Arkansas,Pine Bluff,723 East 25th Ave,1,4,View Incident View Source
1337498,"February 28, 2019",California,Oakland,9755 Edes Ave,1,3,View Incident View Source
1333480,"February 22, 2019",Alabama,Birmingham,1100 block of Carnation Dr,2,2,View Incident View Source
1331974,"February 21, 2019",Maryland,Baltimore,500 block of Bloom St,1,4,View Incident View Source
1332507,"February 21, 2019",Kentucky,Elizabethtown,600 N Miles St,2,2,View Incident View Source
1332429,"February 21, 2019",Texas,Houston,12800 block of Eastbrook Dr,2,2,View Incident View Source
1332181,"February 20, 2019",Tennessee,Covington,529 N College St,0,4,View Incident View Source
1329144,"February 17, 2019",Texas,Henderson,504 S Van Buren St,2,2,View Incident View Source
