Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1103423,"April 29, 2018",Tennessee,Wartburg,519 South Kingston St,0,4,View Incident View Source
1102808,"April 29, 2018",Washington,Seattle (Skyway),12603 Renton Ave S,2,2,View Incident View Source
1103045,"April 29, 2018",North Carolina,Monroe,1500 block of Massey St,1,3,View Incident View Source
1102900,"April 29, 2018",Florida,West Palm Beach,1969 S Military Trail,1,3,View Incident View Source
1102559,"April 28, 2018",North Carolina,Maxton,Modest Rd,0,5,View Incident View Source
1100691,"April 25, 2018",Arkansas,Pine Bluff,300 block of West 24th Street,0,4,View Incident View Source
1100852,"April 25, 2018",Missouri,Saint Louis,1151 Northdale Dr,3,1,View Incident View Source
1099516,"April 24, 2018",Michigan,Flint,2200 block of Ave A,0,4,View Incident View Source
1096826,"April 22, 2018",Tennessee,Antioch,3571 Murfreesboro Pike,4,3,View Incident View Source
1097700,"April 22, 2018",Louisiana,New Orleans,1900 block of St Roch Ave,2,4,View Incident View Source
1096232,"April 21, 2018",Pennsylvania,Philadelphia,1800 block of W Diamond St,2,2,View Incident View Source
1096388,"April 20, 2018",California,San Francisco,3rd Street and Quesada Ave,1,5,View Incident View Source
1095043,"April 18, 2018",North Carolina,Asheville,73 Hansel Ave,4,3,View Incident View Source
1092279,"April 15, 2018",Louisiana,Shreveport,6956 Jewella Ave,0,6,View Incident View Source
1088778,"April 9, 2018",California,Vallejo,201 Maine St,0,4,View Incident View Source
1087153,"April 8, 2018",North Carolina,Hickory,247 1st Ave NW,1,3,View Incident View Source
1087021,"April 8, 2018",Florida,Miami,1300 block of NW 63rd Terrace,2,2,View Incident View Source
1086773,"April 6, 2018",Florida,Jacksonville,6100 block of Transylvania Ave,0,4,View Incident View Source
1086966,"April 6, 2018",Virginia,Virginia Beach,5800 block of Pickering St,1,3,View Incident View Source
1084847,"April 4, 2018",Louisiana,New Orleans,3300 Garden Oaks Drive,2,2,View Incident View Source
1083552,"April 2, 2018",Texas,Houston,8500 block of Redcliff Rd,1,3,View Incident View Source
1083011,"April 1, 2018",Alabama,Mobile,3556 Halls Mill Rd,1,4,View Incident View Source
1082835,"April 1, 2018",Michigan,Saginaw,600 block of Yale St,0,5,View Incident View Source
1082273,"March 31, 2018",New Jersey,Asbury Park,Atlantic Ave and Monmouth Ave,0,5,View Incident View Source
1080234,"March 29, 2018",Texas,Plano,7401 Alma Dr,1,3,View Incident View Source
