Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1746582,"July 25, 2020",Michigan,Flint,4813 Clio Rd,0,6,View Incident View Source
1745903,"July 25, 2020",North Carolina,Raleigh,503 Bragg St,0,4,View Incident View Source
1746160,"July 25, 2020",Florida,Miami,2900 block of Northwest 51st St,1,3,View Incident View Source
1746430,"July 25, 2020",Colorado,Denver,East 33rd Ave and Hudson St,2,3,View Incident View Source
1746674,"July 25, 2020",Texas,Dallas,525 S Riverfront Blvd,0,4,View Incident View Source
1745737,"July 25, 2020",California,Manteca,4447 Woodward Ave,0,7,View Incident View Source
1744407,"July 24, 2020",Georgia,Atlanta,Sunset Ave NW and Lester St NW,2,2,View Incident View Source
1743168,"July 23, 2020",Virginia,Fairfield,3700 block of Meadowbridge Rd,1,3,View Incident View Source
1743488,"July 23, 2020",Virginia,Petersburg,Wesley St,0,4,View Incident View Source
1744332,"July 23, 2020",Illinois,Chicago,120th St and Prairie Ave,2,4,View Incident View Source
1743108,"July 22, 2020",Michigan,Warren,28200 block of Lawson St,0,4,View Incident View Source
1741838,"July 21, 2020",Illinois,Chicago,1018 W 79th St,0,15,View Incident View Source
1740533,"July 20, 2020",Virginia,Richmond,6850 Forest Hill Ave,1,4,View Incident View Source
1740615,"July 20, 2020",Illinois,Chicago,S Lawndale Ave and W Douglas Blvd,0,5,View Incident View Source
1739920,"July 19, 2020",Michigan,Detroit,McKinney St and Meuse St,1,3,View Incident View Source
1739434,"July 19, 2020",Illinois,Peoria,NE Water St and Hamilton Blvd,0,13,View Incident View Source
1739571,"July 19, 2020",Nebraska,Omaha,28th St and T Ave,0,8,View Incident View Source
1740013,"July 19, 2020",Illinois,Chicago,11300 block of South Carpenter St,2,3,View Incident View Source
1739658,"July 19, 2020",District of Columbia,Washington,3600 block of 14th St NW,1,8,View Incident View Source
1739917,"July 19, 2020",Michigan,Detroit,9122 Dexter Ave,4,0,View Incident View Source
1738635,"July 18, 2020",Illinois,Chicago,1600 block of S Keeler Ave,1,4,View Incident View Source
1739097,"July 17, 2020",Ohio,Columbus,E 6th Ave and Summit St,0,4,View Incident View Source
1739413,"July 17, 2020",Florida,Madison,SW Louisiana Terrace,0,4,View Incident View Source
1736508,"July 16, 2020",Tennessee,Nashville,S 7th St and Sylvan St,0,5,View Incident View Source
1736383,"July 15, 2020",Louisiana,Shreveport,6725 Buncombe Rd,1,3,View Incident View Source
